layer_idx,n_samples,TE_mean,TE_std,TE_abs_mean,IE_mean,IE_std,IE_abs_mean,IE_TE_ratio,correct_original,correct_intervention,IE_early,n_early,IE_middle,n_middle,IE_late,n_late,position_sensitivity
0,10,-0.8,0.42163702135578396,0.8,-0.8,0.42163702135578396,0.8,0.9999987500015625,0.9,0.8,1.0,3,1.0,2,0.6,5,0.4
1,10,-0.8,0.42163702135578396,0.8,-0.8,0.42163702135578396,0.8,0.9999987500015625,0.9,0.8,1.0,3,1.0,2,0.6,5,0.4
2,10,-0.8,0.42163702135578396,0.8,-0.8,0.42163702135578396,0.8,0.9999987500015625,0.9,0.8,1.0,3,1.0,2,0.6,5,0.4
3,10,-0.8,0.42163702135578396,0.8,-0.8,0.42163702135578396,0.8,0.9999987500015625,0.9,0.8,1.0,3,1.0,2,0.6,5,0.4
4,10,-0.8,0.42163702135578396,0.8,-0.8,0.42163702135578396,0.8,0.9999987500015625,0.9,0.8,1.0,3,1.0,2,0.6,5,0.4
5,10,-0.8,0.42163702135578396,0.8,-0.8,0.42163702135578396,0.8,0.9999987500015625,0.9,0.8,1.0,3,1.0,2,0.6,5,0.4
6,10,-0.8,0.42163702135578396,0.8,-0.8,0.42163702135578396,0.8,0.9999987500015625,0.9,0.8,1.0,3,1.0,2,0.6,5,0.4
7,10,-0.8,0.42163702135578396,0.8,-0.8,0.42163702135578396,0.8,0.9999987500015625,0.9,0.8,1.0,3,1.0,2,0.6,5,0.4
8,10,-0.8,0.42163702135578396,0.8,-0.7,0.48304589153964794,0.7,0.874998906251367,0.9,0.8,1.0,3,1.0,2,0.4,5,0.6
9,10,-0.8,0.42163702135578396,0.8,-0.7,0.48304589153964794,0.7,0.874998906251367,0.9,0.8,1.0,3,1.0,2,0.4,5,0.6
10,10,-0.8,0.42163702135578396,0.8,-0.7,0.48304589153964794,0.7,0.874998906251367,0.9,0.8,1.0,3,1.0,2,0.4,5,0.6
11,10,-0.8,0.42163702135578396,0.8,-0.6,0.5163977794943222,0.6,0.7499990625011718,0.9,0.8,0.6666666666666666,3,1.0,2,0.4,5,0.2666666666666666
12,10,-0.8,0.42163702135578396,0.8,-0.6,0.5163977794943222,0.6,0.7499990625011718,0.9,0.8,0.6666666666666666,3,1.0,2,0.4,5,0.2666666666666666
13,10,-0.8,0.42163702135578396,0.8,-0.4,0.5163977794943223,0.4,0.49999937500078123,0.9,0.8,0.6666666666666666,3,0.5,2,0.2,5,0.4666666666666666
14,10,-0.8,0.42163702135578396,0.8,-0.2,0.42163702135578396,0.2,0.24999968750039062,0.9,0.8,0.3333333333333333,3,0.0,2,0.2,5,0.1333333333333333
15,10,-0.8,0.42163702135578396,0.8,-0.1,0.31622776601683794,0.1,0.12499984375019531,0.9,0.8,0.0,3,0.0,2,0.2,5,-0.2
16,10,-0.8,0.42163702135578396,0.8,0.0,0.4714045207910317,0.2,0.24999968750039062,0.9,0.8,0.0,3,0.0,2,0.4,5,-0.4
17,10,-0.8,0.42163702135578396,0.8,0.0,0.4714045207910317,0.2,0.24999968750039062,0.9,0.8,0.0,3,0.0,2,0.4,5,-0.4
18,10,-0.8,0.42163702135578396,0.8,0.0,0.0,0.0,0.0,0.9,0.8,0.0,3,0.0,2,0.0,5,0.0
19,10,-0.8,0.42163702135578396,0.8,0.0,0.0,0.0,0.0,0.9,0.8,0.0,3,0.0,2,0.0,5,0.0
