layer_idx,n_samples,TE_mean,TE_std,TE_abs_mean,IE_mean,IE_std,IE_abs_mean,IE_TE_ratio,correct_original,correct_intervention,IE_early,n_early,IE_middle,n_middle,IE_late,n_late,position_sensitivity,counting_score,counting_score_normalized
0,10,-0.8,0.42163702135578396,0.8,-0.8,0.42163702135578396,0.8,0.9999987500015625,0.9,0.8,1.0,3,1.0,2,0.6,5,0.4,3.4999981250023438,1.0
1,10,-0.8,0.42163702135578396,0.8,-0.8,0.42163702135578396,0.8,0.9999987500015625,0.9,0.8,1.0,3,1.0,2,0.6,5,0.4,3.4999981250023438,1.0
2,10,-0.8,0.42163702135578396,0.8,-0.8,0.42163702135578396,0.8,0.9999987500015625,0.9,0.8,1.0,3,1.0,2,0.6,5,0.4,3.4999981250023438,1.0
3,10,-0.8,0.42163702135578396,0.8,-0.8,0.42163702135578396,0.8,0.9999987500015625,0.9,0.8,1.0,3,1.0,2,0.6,5,0.4,3.4999981250023438,1.0
4,10,-0.8,0.42163702135578396,0.8,-0.8,0.42163702135578396,0.8,0.9999987500015625,0.9,0.8,1.0,3,1.0,2,0.6,5,0.4,3.4999981250023438,1.0
5,10,-0.8,0.42163702135578396,0.8,-0.8,0.42163702135578396,0.8,0.9999987500015625,0.9,0.8,1.0,3,1.0,2,0.6,5,0.4,3.4999981250023438,1.0
6,10,-0.8,0.42163702135578396,0.8,-0.8,0.42163702135578396,0.8,0.9999987500015625,0.9,0.8,1.0,3,1.0,2,0.6,5,0.4,3.4999981250023438,1.0
7,10,-0.8,0.42163702135578396,0.8,-0.8,0.42163702135578396,0.8,0.9999987500015625,0.9,0.8,1.0,3,1.0,2,0.6,5,0.4,3.4999981250023438,1.0
8,10,-0.8,0.42163702135578396,0.8,-0.7,0.48304589153964794,0.7,0.874998906251367,0.9,0.8,1.0,3,1.0,2,0.4,5,0.6,3.3124983593770505,0.9464286096938501
9,10,-0.8,0.42163702135578396,0.8,-0.7,0.48304589153964794,0.7,0.874998906251367,0.9,0.8,1.0,3,1.0,2,0.4,5,0.6,3.3124983593770505,0.9464286096938501
