layer_idx,n_samples,TE_mean,TE_std,TE_abs_mean,IE_mean,IE_std,IE_abs_mean,correct_original,correct_intervention
0,100,-0.88,0.4089898865164359,0.9,-0.87,0.3932511470376971,0.89,0.83,0.87
1,100,-0.88,0.4089898865164359,0.9,-0.87,0.3932511470376971,0.89,0.83,0.87
2,100,-0.88,0.4089898865164359,0.9,-0.87,0.3932511470376971,0.89,0.83,0.87
3,100,-0.88,0.4089898865164359,0.9,-0.87,0.3932511470376971,0.89,0.83,0.87
4,100,-0.88,0.4089898865164359,0.9,-0.87,0.41814887880811624,0.89,0.83,0.87
5,100,-0.88,0.4089898865164359,0.9,-0.87,0.3932511470376971,0.89,0.83,0.87
6,100,-0.88,0.4089898865164359,0.9,-0.86,0.40251733132897793,0.88,0.83,0.87
7,100,-0.88,0.4089898865164359,0.9,-0.86,0.4499158170416357,0.9,0.83,0.87
8,100,-0.88,0.4089898865164359,0.9,-0.85,0.45781651302236803,0.89,0.83,0.87
9,100,-0.88,0.4089898865164359,0.9,-0.84,0.4197161137740801,0.86,0.83,0.87
10,100,-0.88,0.4089898865164359,0.9,-0.78,0.48367281703584897,0.82,0.83,0.87
11,100,-0.88,0.4089898865164359,0.9,-0.7,0.5025189076296058,0.74,0.83,0.87
12,100,-0.88,0.4089898865164359,0.9,-0.63,0.5252224156094121,0.67,0.83,0.87
13,100,-0.88,0.4089898865164359,0.9,-0.38,0.5276209229966514,0.42,0.83,0.87
14,100,-0.88,0.4089898865164359,0.9,-0.28,0.49400445751066224,0.32,0.83,0.87
15,100,-0.88,0.4089898865164359,0.9,-0.22,0.4399265319747762,0.24,0.83,0.87
16,100,-0.88,0.4089898865164359,0.9,-0.16,0.3949172013974528,0.18,0.83,0.87
17,100,-0.88,0.4089898865164359,0.9,-0.09,0.3509007169147899,0.13,0.83,0.87
18,100,-0.88,0.4089898865164359,0.9,-0.03,0.2641930729560859,0.07,0.83,0.87
19,100,-0.88,0.4089898865164359,0.9,0.0,0.0,0.0,0.83,0.87
